Duration (Hours),PGY (Modified) SM,PGY (Modified) SM,PGY (Modified) SM,M. curtisii SM,M. curtisii SM,M. curtisii SM,F. vaginae SM,F. vaginae SM,F. vaginae SM,A. christensenii SM,A. christensenii SM,A. christensenii SM
28.26,0.09375,0.12615,0.09375,0.110866667,0.151566667,0.171166667,0.037233333,0.054433333,-0.025466667,0.166966667,0.109266667,0.072966667
28.42,0.10085,0.13405,0.10085,0.1164,0.1454,0.1754,0.039833333,0.051333333,-0.022966667,0.183933333,0.117933333,0.076333333
28.59,0.1099,0.1465,0.1099,0.125433333,0.163233333,0.185833333,0.0375,0.0524,-0.0259,0.179866667,0.120066667,0.077366667
28.76,0.10555,0.13675,0.10555,0.129866667,0.171566667,0.192966667,0.037833333,0.049033333,-0.027966667,0.1795,0.1189,0.0787
28.92,0.12265,0.15935,0.12265,0.1333,0.1722,0.1963,0.037666667,0.053666667,-0.029133333,0.177,0.1196,0.0812
29.09,0.13325,0.16655,0.13325,0.146433333,0.188133333,0.204733333,0.045133333,0.054833333,-0.025766667,0.178033333,0.115933333,0.082433333
29.26,0.13965,0.16895,0.13965,0.146033333,0.180933333,0.204333333,0.0284,0.0525,-0.0226,0.175266667,0.129266667,0.088866667
29.42,0.12585,0.16565,0.12585,0.156233333,0.192133333,0.210433333,0.028533333,0.058833333,-0.019766667,0.184033333,0.122733333,0.095633333
29.59,0.12985,0.17505,0.12985,0.157233333,0.200233333,0.220933333,0.020533333,0.051333333,-0.025266667,0.188033333,0.129333333,0.096133333
29.76,0.1449,0.1813,0.1449,0.164,0.2044,0.2245,0.035333333,0.059133333,-0.021066667,0.191833333,0.126133333,0.101033333
29.92,0.1502,0.1892,0.1502,0.166566667,0.207466667,0.234066667,0.025533333,0.053433333,-0.023466667,0.1818,0.1228,0.0952
